units,name_plt,lat,lon,value,date,year,month,my_date,mean,size
MMBtu,Portland,40.910205,-75.079398,233,2015-11-01,2015,11,2015.8333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,9843,2015-10-01,2015,10,2015.75,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,6381,2015-09-01,2015,9,2015.6666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,595,2015-08-01,2015,8,2015.5833333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,3199,2015-07-01,2015,7,2015.5,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,80,2015-06-01,2015,6,2015.4166666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,3268,2015-05-01,2015,5,2015.3333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,93,2015-04-01,2015,4,2015.25,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2229,2015-03-01,2015,3,2015.1666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,4097,2015-02-01,2015,2,2015.0833333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,612,2015-01-01,2015,1,2015,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,3015,2014-12-01,2014,12,2014.9166666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,3015,2014-11-01,2014,11,2014.8333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,186,2014-10-01,2014,10,2014.75,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,5414,2014-09-01,2014,9,2014.6666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,5414,2014-08-01,2014,8,2014.5833333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,1059,2014-07-01,2014,7,2014.5,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,2704,2014-06-01,2014,6,2014.4166666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,744901,2014-05-01,2014,5,2014.3333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,483826,2014-04-01,2014,4,2014.25,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,742369,2014-03-01,2014,3,2014.1666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,479887,2014-02-01,2014,2,2014.0833333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,339180,2014-01-01,2014,1,2014,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,349569,2013-12-01,2013,12,2013.9166666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,68637,2013-11-01,2013,11,2013.8333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,291,2013-10-01,2013,10,2013.75,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,66151,2013-09-01,2013,9,2013.6666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,296109,2013-08-01,2013,8,2013.5833333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,350526,2013-07-01,2013,7,2013.5,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,145134,2013-06-01,2013,6,2013.4166666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,192378,2013-05-01,2013,5,2013.3333333333333,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,558449,2013-04-01,2013,4,2013.25,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,11535,2013-03-01,2013,3,2013.1666666666667,994784.3627192982,md
MMBtu,Portland,40.910205,-75.079398,138763,2013-02-01,2013,2,2013.0833333333333,994784.3627192982,md
